City ID,City,Country,Date,Lat,Lng,Current Temp,Max Temp,Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Bubaque,GW,1599440492,11.28,-15.83,79.52,79.52,83,100,18.48
1,Arcelia,MX,1599440493,18.28,-100.27,74.88,74.88,86,100,0.6
2,Wankyi,GH,1599440493,7.74,-2.1,69.84,69.84,97,100,4.88
3,Samarai,PG,1599440493,-10.62,150.67,78.8,78.8,86,97,17.09
4,Iranshahr,IR,1599440494,27.2,60.68,80.6,80.6,13,0,4.52
5,Kawalu,ID,1599440494,-7.38,108.21,75.9,75.9,76,62,3.58
6,Tromsø,NO,1599440424,69.65,18.96,48.2,48.2,93,90,11.41
7,Pevek,RU,1599440495,69.7,170.31,43.72,43.72,71,58,14.41
8,Chiredzi,ZW,1599440495,-21.05,31.67,59.23,59.23,75,4,4.16
9,Bethel,US,1599440495,41.37,-73.41,67.59,71.6,73,90,3.87
10,Lázaro Cárdenas,MX,1599440496,17.96,-102.2,80.91,80.91,76,100,3.13
11,São Filipe,CV,1599440465,14.9,-24.5,78.24,78.24,81,29,17.36
12,Albany,US,1599440475,42.6,-73.97,60.75,63.0,69,0,1.1
13,Ushuaia,AR,1599440485,-54.8,-68.3,39.2,39.2,80,0,9.17
14,Busselton,AU,1599440497,-33.65,115.33,53.22,54.0,86,0,1.99
15,Vanavara,RU,1599440497,60.34,102.28,50.34,50.34,72,100,0.45
16,Sept-Îles,CA,1599440240,50.2,-66.38,48.45,50.0,93,40,4.32
17,Yangi Marg`ilon,UZ,1599440497,40.43,71.72,60.8,60.8,41,0,4.7
18,Imeni Poliny Osipenko,RU,1599440498,52.42,136.49,63.16,63.16,86,94,4.23
19,Tshikapa,CD,1599440498,-6.42,20.8,74.07,74.07,71,0,1.95
20,Aktash,RU,1599440499,50.3,87.73,32.81,32.81,100,100,3.89
21,Katsuura,JP,1599440499,35.13,140.3,84.38,87.01,88,75,10.29
22,Rikitea,PF,1599440472,-23.12,-134.97,73.49,73.49,84,0,10.74
23,Longyearbyen,SJ,1599440411,78.22,15.64,39.2,39.2,86,75,6.93
24,Mataura,NZ,1599440500,-46.19,168.86,55.27,55.27,54,100,3.85
25,Nikolskoye,RU,1599440500,59.7,30.79,52.5,54.0,81,9,2.24
26,Tual,ID,1599440500,-5.67,132.75,80.44,80.44,82,95,18.92
27,Hilo,US,1599440500,19.73,-155.09,79.02,84.2,62,90,10.29
28,Hermanus,ZA,1599440486,-34.42,19.23,54.0,54.0,83,6,9.71
29,Ārvi,IN,1599440501,20.98,78.23,78.53,78.53,86,100,2.46
30,Khatanga,RU,1599440502,71.97,102.5,46.31,46.31,66,12,3.76
31,Hamilton,US,1599440282,39.18,-84.53,72.5,75.0,69,1,8.52
32,Jamestown,US,1599440502,42.1,-79.24,63.77,64.99,67,1,4.7
33,Hithadhoo,MV,1599440502,-0.6,73.08,81.77,81.77,77,100,12.01
34,Ukiah,US,1599440345,39.15,-123.21,105.58,109.4,9,1,12.75
35,Punta Arenas,CL,1599440503,-53.15,-70.92,41.0,41.0,80,100,10.29
36,Marrakesh,MA,1599440503,31.63,-8.01,78.8,78.8,47,0,2.24
37,Havelock,US,1599440338,34.88,-76.9,74.98,77.0,76,4,3.0
38,Mount Gambier,AU,1599440504,-37.83,140.77,68.0,68.0,37,100,21.92
39,Port Elizabeth,ZA,1599440504,-33.92,25.57,57.2,57.2,93,75,3.36
40,Treinta y Tres,UY,1599440504,-33.23,-54.38,44.53,44.53,92,0,7.18
41,Yulara,AU,1599440505,-25.24,130.99,82.4,82.4,15,0,14.99
42,Tuy Hoa,VN,1599440505,13.08,109.3,85.26,85.26,67,0,12.28
43,Asău,RO,1599440505,46.43,26.4,55.99,55.99,96,0,2.35
44,Tiksi,RU,1599440505,71.69,128.87,44.71,44.71,83,97,5.66
45,Kapaa,US,1599440301,22.08,-159.32,81.41,82.4,69,90,14.99
46,Mar del Plata,AR,1599440467,-38.0,-57.56,43.97,46.0,93,0,7.11
47,Kimbe,PG,1599440506,-5.55,150.14,90.72,90.72,52,17,2.08
48,Tuatapere,NZ,1599440506,-46.13,167.68,56.52,56.52,49,33,1.19
49,East London,ZA,1599440507,-33.02,27.91,62.85,62.85,79,93,4.18
50,Bredasdorp,ZA,1599440508,-34.53,20.04,46.4,46.4,93,0,1.12
51,Concepción,CL,1599440509,-36.83,-73.05,53.6,53.6,87,0,2.24
52,Saint Paul Harbor,US,1599440509,57.79,-152.41,55.4,55.4,93,90,14.99
53,Paamiut,GL,1599440509,61.99,-49.67,44.17,44.17,93,88,10.83
54,Berlevåg,NO,1599440510,70.86,29.09,50.36,50.36,85,100,24.85
55,Narsaq,GL,1599440510,60.92,-46.05,44.6,44.6,87,100,1.12
56,Codrington,AU,1599440510,-38.27,141.97,63.09,63.09,61,100,21.61
57,Lebu,CL,1599440510,-37.62,-73.65,48.7,48.7,87,2,8.97
58,Geraldton,AU,1599440328,-28.77,114.6,62.6,62.6,67,75,9.17
59,Kununurra,AU,1599440243,-15.77,128.73,86.0,86.0,35,100,6.93
60,Airai,TL,1599440511,-8.93,125.41,72.12,72.12,43,11,6.33
61,Port Alfred,ZA,1599440512,-33.59,26.89,58.05,58.05,87,21,7.43
62,Moyo,UG,1599440512,3.66,31.72,63.55,63.55,100,43,1.72
63,Vaini,TO,1599440512,-21.2,-175.2,75.2,75.2,69,75,13.87
64,Butaritari,KI,1599440513,3.07,172.79,83.75,83.75,72,100,14.97
65,Tuktoyaktuk,CA,1599440485,69.45,-133.04,44.6,44.6,58,20,13.87
66,Carnarvon,AU,1599440513,-24.87,113.63,68.0,68.0,100,75,5.82
67,Caohe,CN,1599440513,30.23,115.43,76.93,76.93,75,0,4.47
68,Redlands,US,1599440392,34.06,-117.18,102.65,107.01,23,70,3.0
69,Mékhé,SN,1599440514,15.11,-16.62,76.24,77.0,94,100,2.24
70,Arman',RU,1599440514,59.7,150.17,52.88,52.88,72,99,3.4
71,Hasaki,JP,1599440515,35.73,140.83,87.33,88.0,79,75,12.75
72,Arraial do Cabo,BR,1599440515,-22.97,-42.03,71.74,71.74,87,0,18.28
73,Brewster,US,1599440515,41.4,-73.62,67.33,71.6,73,90,3.56
74,Cherskiy,RU,1599440515,68.75,161.3,49.96,49.96,49,100,12.03
75,Waipawa,NZ,1599440516,-41.41,175.52,53.64,55.0,71,97,21.92
76,San Patricio,MX,1599440516,19.22,-104.7,86.0,86.0,74,75,9.17
77,Salalah,OM,1599440517,17.02,54.09,78.8,78.8,88,75,5.82
78,Saskylakh,RU,1599440517,71.92,114.08,46.4,46.4,69,24,6.46
79,Olafsvik,IS,1599440517,64.89,-23.71,50.04,50.04,89,100,21.52
80,Ribeira Grande,PT,1599440481,38.52,-28.7,69.04,69.04,73,24,23.6
81,Laguna,US,1599440518,38.42,-121.42,109.33,109.99,12,1,6.93
82,Andreapol',RU,1599440518,56.65,32.27,52.16,52.16,96,98,2.44
83,Mount Isa,AU,1599440518,-20.73,139.5,82.4,82.4,28,0,12.75
84,Srednekolymsk,RU,1599440519,67.45,153.68,50.79,50.79,78,100,2.01
85,Makakilo City,US,1599440519,21.35,-158.09,85.55,87.8,48,40,5.82
86,Yellowknife,CA,1599440412,62.46,-114.35,48.2,50.0,53,40,6.93
87,Fortuna,US,1599440505,40.6,-124.16,73.22,73.4,60,1,6.93
88,Evanston,US,1599440248,42.04,-87.69,77.92,80.6,69,20,13.87
89,Oriximiná,BR,1599440520,-1.77,-55.87,81.54,81.54,62,1,2.91
90,Riyadh,SA,1599440236,24.69,46.72,86.0,86.0,20,0,3.36
91,Bluff,NZ,1599440521,-46.6,168.33,51.78,51.78,70,89,13.42
92,Saint-Philippe,RE,1599440521,-21.36,55.77,64.26,68.0,72,46,4.7
93,Shenjiamen,CN,1599440521,29.96,122.3,78.85,78.85,68,0,16.78
94,Cockburn Town,TC,1599440521,21.46,-71.14,83.03,83.03,79,93,15.3
95,Avarua,CK,1599440522,-21.21,-159.78,71.6,71.6,68,13,8.05
96,San Andrés,CO,1599440522,12.58,-81.7,84.2,84.2,79,20,4.7
97,Qandala,SO,1599440523,11.47,49.87,86.0,86.0,61,12,1.77
98,Khāsh,IR,1599440523,28.22,61.22,60.48,60.48,31,0,2.62
99,Srandakan,ID,1599440524,-7.94,110.25,79.18,79.18,77,83,10.58
